uid,SampleSource,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Region,a1,a2,a3,a3_os,a4,our cat,a5,a6,a7,a7_os,a8,a9,total,less than 2,02-May,05-Oct,Oct-15,15-20,20-50,50+,b1,b2,b3,b3_1,b4,b4_os,b5,b5_1,b5_2,b6,b6_1,b7,b8,b9,b10,b10_1,b10_2,b11,c1,c2,c2_os,c3,c4,c4a,c4b,c4b_os,gender,f1,f2,household challenges,f3_os,household_activities,f4_os,f4a,f4b,f4c,f4d,f4e,f4f,f4g,f4x,f4z,use of digital payments,g1_os,g1check,g2,g3,g4,g4_os,g5,g5_os,SampleSource,Gender,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Wave,selected_business,,ConsolidatedBusinessType
12171,DIC,Manufacturing,PAPAD,Food Processing,15,Madurai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Essential,Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,No,,No,Do Not Know,No,No,,,Yes,Somewhat confident,0,,> 6 months,Do not know any,,,,,Yes,,1 2,,1 2 6 8,,3,1,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
12173,DIC,Services,COMPUTER DESIGNING AND DRAFTING,Software Services,7,Thanjavur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,5000,Do Not Know,Do Not Know,Yes,No,,,Yes,Fully confident,3  7,,0-3 months,Do not know any,,,,Male,Yes,,2 4,,1 6 7 -888,Playing cards,1,,,,,4,2,,3,5,,,1 to 3 months,Increased,1 4 -888,Donation Rs.4000 to others,5 -888,Easy transfer Exact change,,,,,,,,,,,,
12174,DIC,Manufacturing,PACKAGED DRINKING WATER,Food Processing,16,Virudhunagar,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Essential,Essential,Yes,Partly Operational,1 3,,15,0,15,,,,,Y,,,Same as expected,40,Remained the same,,Enough to survive 2 months,,No,,,Yes,30000,Partial payment,Partial payment,No,No,,,No,Somewhat confident,3,,0-3 months,Yes,MSME udyog adhaar scheme apply,,,,Yes,,0,,1 2 6 7 8,,2,1,,,,5,4,,,3 5,,,> 3 years,Increased,2  -888,,5 -888,Transaction visible and anytime transfer,,,,,,,,,,,,
12175,DIC,Manufacturing,"Monofilament, nylon",Textiles,8,Karur,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,6,1,7,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,Yes full payment,Yes full payment,"Yes, but with delay",No,,,Yes,Fully confident,0,,0-3 months,Do not know any,,,,Male,Yes,,0,,1 8 -888,Farming work,2,,,,,,,,1,3,,,> 3 years,Increased,-888,,4 -888,Transaction visiblity,,,,,,,,,,,,
12176,DIC,Services,Transport hiring services,Transport Service,4,Thiruvallur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,8,0,8,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,3,No,,Do Not Know,Do Not Know,No,No,,,Yes,Somewhat confident,0,,4-6 months,Do not know any,,,,Male,Yes,,1 2,,6 -888,Cow milk business in his native,,,,,,2,,,1,7,,,,,,,,,,,,,,,,,,,,
12178,DIC,Services,Repair of household electrical appliances,Electricals and Electronics,6,Pudukkottai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,3,Yes,25000,Do Not Know,Do Not Know,No,No,,,No,Somewhat confident,0,,4-6 months,Do not know any,,,,Male,Yes,,2 3 4,,1 2 6 7 8,,3,1,,,,5,2,,,7,,,,,,,,,,,,,,,,,,,,
12179,DIC,Services,Household electrical goods sales services-others,Electricals and Electronics,24,Kanchipuram,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,10,0,10,,,,Y,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,4,No,,Do Not Know,Do Not Know,No,No,,,No,Fully confident,3,,> 6 months,Do not know any,,,,Male,Yes,,0,,1 2 6 8 -888,Painting Work,5,4,,,,1,,,2,1 3 5,,,2-3 years,Do Not Know,-888,,-888,Transaction visible to govt.,,,,,,,,,,,,
12182,DIC,Manufacturing,INJECTION MOULDING (JOB),Paper & Plastic Products,8,Thiruvallur,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,1,No,,Partial payment,Do Not Know,"Yes, but with delay",No,,,Yes,Fully confident,3,,4-6 months,Do not know any,,,,Male,Yes,,4,,6 8 -888,Playing carom game,,,,,,3,,,1,7,,,,,,,,,,,,,,,,,,,,
12183,DIC,Services,"REPAIR AND MAINTENANCE OF ELECTRIC MOTORS, GENERATORS AND TRANSFORMERS",Electricals and Electronics,8,Thanjavur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,3,No,,Do Not Know,Do Not Know,No,No,,,Yes,Somewhat confident,0,,4-6 months,Do not know any,,,,Male,Yes,,2 3 4,,1 2 6 8,,2,1,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
12185,DIC,Services,Still photography,Photo & Printing,43,Ariyalur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,1 3,No,,Do Not Know,Do Not Know,No,No,,,Yes,Not confident,6,,> 6 months,Do not know any,,,,Male,Yes,,2,,6 8 -888,Farming work,,,,,,3,,,1,7,,,,,,,,,,,,,,,,,,,,
12186,DIC,Manufacturing,INTERLOCKING FRAME,Auto Parts and Metal Works,25,Chennai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,20000,No,Partial payment,No,No,,,Yes,Somewhat confident,0,,4-6 months,Do not know any,,,,Male,Yes,,2,,1 6 8 -888,,3,,,,,4,,,,5,,,3-6 months,Remained the same,3 -888,"He got the cash from his Relations and Dth,mobile recharge",3  6,,,,,,,,,,,,,
12187,DIC,Manufacturing,READYMADE GARMENTS,Ready-made garments,11,Madurai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,6,0,6,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,No,,Yes,20000,Do Not Know,Do Not Know,No,"No, but not able to pay them",,,Yes,Fully confident,0,,> 6 months,Do not know any,,,,Male,Yes,,0,,2 6 8,,,2,,,,3,,,,3 5,,,> 3 years,Increased,4 -888,"He got the cash from his Relation and Creditcard, mobile recharge",-888,"Immediately send the cash,time save",,,,,,,,,,,,
12188,DIC,Manufacturing,"HOSIERY GOODS, OTHERS - COTTON",Textiles,8,Tiruppur,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,30,0,30,,,,,,Y,,Same as expected,,,,Enough to survive 1 month,,Yes,Yes,2,No,,No,Do Not Know,No,No,,,Yes,Somewhat confident,6,,> 6 months,No,,Banks/MFI/NBFC not lending,,Male,Yes,,0,,1 2 6 8 -888,Farming work,3,2,,,,5,,,1,3,,,1-2 years,Increased,2 -888,,5 -888,Immediately payment process,,,,,,,,,,,,
12189,DIC,Services,Motor vehicle / motor cycle repairing,Auto Parts and Metal Works,5,Ariyalur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,3,No,,Do Not Know,Do Not Know,No,No,,,Yes,Fully confident,0,,4-6 months,Do not know any,,,,Male,Yes,,2,,1 2 6 8,,2,1,,,,4,,,,5,,,6-12 months,Increased,3 -888,He sent the cash to Relation,5 -888,Following advanced method like this,,,,,,,,,,,,
12190,DIC,Manufacturing,CORRUGATED BOXES,Paper & Plastic Products,10,Virudhunagar,Tamil Nadu,South India,No,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,25,0,25,,,,,,Y,,Worse than expected,,,,Enough to survive 1 month,,No,,,Yes,1000000,Yes full payment,Yes full payment,No,No,,,No,Fully confident,3,,0-3 months,Yes,Firebox and Fireworks workers relief fund Rs.1000,,,Male,Yes,,2,,1 2 6 7 8,,2,1,,,,5,4,,,7,,,,,,,,,,,,,,,,,,,,
12191,DIC,Manufacturing,"BAG, LDPE",Paper & Plastic Products,8,Tiruchirappalli,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,10,0,10,,,,Y,,,,Same as expected,,,,Enough to survive 3 months or more,,No,,,Yes,,No,No,No customers due to lockdown,No,,,No Loan,Fully confident,0,,> 6 months,No,,Others,Have an existing loan,Male,Yes,,2 3,,1 2 5 6,,2,1,,,3,4,,,,3,,,> 3 years,Increased,3  -888,,5 -888,Safe and time save,,,,,,,,,,,,
12192,DIC,Manufacturing,FLEXOGRAPHY PRINTING,Photo & Printing,15,Tiruppur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,,Do Not Know,Do Not Know,No,No,,,Yes,Somewhat confident,6,,> 6 months,Do not know any,,,,Male,Yes,,0,,2 6 7 8 -888,Playing Carom and chese game and prayer,,2,,,,5,1,,3,7,,,,,,,,,,,,,,,,,,,,
12195,DIC,Services,Repair and maintenance of other electrical equipment n.e.c.,Electricals and Electronics,5,Kanchipuram,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,50,0,50,,,,,,,Y,Better than expected,,,,Enough to survive 3 months or more,,No,,,Yes,,Yes full payment,Yes full payment,"Yes, but with delay",No,,,No,Fully confident,6 7 -888,New line of business,4-6 months,Do not know any,,,,Male,No,50,0,,1 2 5 6 7 -888,He given the Technical and saft skills training to his staffs through online.,3,4,,,2,6,5,,1,3,,,> 3 years,Remained the same,2 3 4 -888,Donations to poverty people,5 -888,Traceability and evidence,,,,,,,,,,,,
12199,DIC,Manufacturing,"Childrens clothings, silk",Ready-made garments,2,Tiruppur,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,20,0,20,,,,,,Y,,Worse than expected,,,,Don't have any cash reserves,,Yes,No,,No,,No,No,No,No,,,Yes,Fully confident,0,,> 6 months,Do not know any,,,,Male,Yes,,0,,1 2 6 8,,2,1,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
12200,DIC,Trading,Retail trade 2s- others,General/Kirana Store,8,Chennai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,80000,Do Not Know,Do Not Know,"Yes, but with delay",No,,,No,Fully confident,0,,0-3 months,Yes,Under small shop business relief fund,,,,Yes,,0,,1 2 7 8 -888,Fisher work and mask free distribution to peoples,4,3,,,,,2,,1,5,,,3-6 months,Increased,1 2,,5 -888,Transaction visibility,,,,,,,,,,,,
12201,DIC,Services,Still photography,Photo & Printing,5,Tirunelvelli,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,23000,No,No,No,No,,,No,Somewhat confident,0,,> 6 months,Yes,Amaipu Sara tholil alargal,,,Male,Yes,,1 2 3 4,,2,,,1,,,,,,,,2 3,,,1-2 years,,1 2 4,,1,,,,,,,,,,,,,
12202,DIC,Services,Video photography,Photo & Printing,7,Virudhunagar,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,2 3,Yes,,No,No,No,No,,,Yes,Fully confident,0,,> 6 months,Do not know any,,,,Male,Yes,,4,,1 2,,2,1,,,,,,,,2,,,1 to 3 months,Increased,1,,5,,,,,,,,,,,,,
12207,DIC,Manufacturing,"PAPER ROLLS, 2N-CORRUGATED",Paper & Plastic Products,2,Virudhunagar,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,10,0,10,,,,Y,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,,No,No,No,No,,,No,Somewhat confident,0,,> 6 months,Do not know any,,,,Male,Yes,,5,,1 2,,1,2,,,,,,,,3,,,1-2 years,,5,,5,,,,,,,,,,,,,
12210,DIC,Manufacturing,"MOTOR, D.C",Electricals and Electronics,23,Tirunelvelli,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,1,1,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,7000,No,Do Not Know,No,No,,,No Loan,Somewhat confident,0,,Uncertain,Do not know any,,,,Male,Yes,,5,,1 -888,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12212,DIC,Manufacturing,TAILORING (J0B WORK),Tailoring,8,Erode,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,9,0,9,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,No,,Yes,,No,No,No,No,,,Yes,Not confident,0,,Uncertain,Do not know any,,,,Male,Yes,,2,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12213,DIC,Manufacturing,"YARN, FINISHED / PROCESSED - COTTON (KNITTED)",Textiles,28,Erode,Tamil Nadu,South India,Yes,Female,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,,Do Not Know,Do Not Know,No,No,,,No,Not confident,0,,Uncertain,Do not know any,,,,Female,Yes,,5,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12215,DIC,Manufacturing,"JEWELLERY / ORNAMENT, GOLD -OTHERS",Jewellery,17,Madurai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,,No,No,No,No,,,No,Fully confident,5,,4-6 months,Yes,Association scheme,,,Male,Yes,,1 2 3 4,,2 -888,,,1,,,,,,,,2 3,,,3-6 months,,4,,1,,,,,,,,,,,,,
12219,DIC,Manufacturing,"WAX, CANDLES",Others,12,Dindigul,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Enough to survive 2 months,,No,,,Yes,40000,Do Not Know,Do Not Know,No,No,,,No Loan,Not confident,0,,0-3 months,Do not know any,,,,Male,Yes,,2 4,,-888,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
12220,DIC,Services,Motor vehicle / motor cycle repairing,Auto Parts and Metal Works,50,Tirunelvelli,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,,Do Not Know,Do Not Know,No,No,,,No Loan,Not confident,0,,Uncertain,No,,Requirements not fulfilled,,Male,Yes,,1 3,,-888,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
12221,DIC,Services,DATA PROCESSING,Software Services,23,Madurai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,No,,No,Yes full payment,No,No,,,Yes,Somewhat confident,0,,0-3 months,Do not know any,,,,Male,Yes,,5,,3,,,,1,,,,,,,2 3,,,> 3 years,,1 2 4,,5,,,,,,,,,,,,,
12222,DIC,Services,BOOK BINDING,Paper & Plastic Products,15,Tiruchirappalli,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,100000,No,No,No,No,,,Yes,Not confident,0,,Uncertain,Do not know any,,,,Male,Yes,,1 2 3 4,,-888,,,,,,,,,,,1 2 3 4,,,1-2 years,,3 4,,1,,,,,,,,,,,,,
12224,DIC,Services,ACCOUNTING / BOOK KEEPING SERVICES,Software Services,16,Pudukkottai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,8,0,8,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,,No,Do Not Know,No,No,,,Yes,Fully confident,0,,Uncertain,Do not know any,,,,Male,No,40,2 3,,-888,"Do finance work, news",,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,
12225,DIC,Services,Computer sales services,Electricals and Electronics,7,Nagercoil,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,1,1,Y,,,,,,,Same as expected,,,,Enough to survive 2 months,,No,,,Yes,60000,No,Partial payment,No,No,,,No,Somewhat confident,5,,Uncertain,Do not know any,,,,Male,No,40,4,,2 7,,,2,,,,,1,,,2 3,,,> 3 years,,2 3,,1,,,,,,,,,,,,,
12226,DIC,Manufacturing,"HOSIERY GOODS, OTHERS - COTTON",Textiles,5,Tiruppur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,10,0,10,,,,Y,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,No,,Do Not Know,Do Not Know,No,No,,,No,Somewhat confident,0,,Uncertain,Do not know any,,,,Male,Yes,,5,,-888,,,,,,,,,,,2,,,6-12 months,,4,,1,,,,,,,,,,,,,
12227,DIC,Manufacturing,"LUNGIES, COTTON",Textiles,22,Erode,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,20000,No,Do Not Know,No,No,,,No Loan,Somewhat confident,0,,Uncertain,Do not know any,,,,Male,No,25,5,,-888,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12229,DIC,Manufacturing,WELDING (ARC),Auto Parts and Metal Works,10,Virudhunagar,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,30000,Partial payment,Partial payment,No,No,,,No Loan,Fully confident,0,,0-3 months,Do not know any,,,,Male,Yes,,5,,2,,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12231,DIC,Manufacturing,"JEWELLERY / ORNAMENT, GOLD -OTHERS",Jewellery,10,Coimbatore,Tamil Nadu,South India,Yes,Male,Home based business,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Enough to survive 3 months or more,,No,,,Yes,,No,Partial payment,No,No,,,No Loan,Fully confident,1 5,,4-6 months,Do not know any,,,,Male,No,50,4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12232,DIC,Manufacturing,PAPER PLATES,Paper & Plastic Products,8,Thiruvallur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,,No,Do Not Know,No,No,,,No,Fully confident,7,,Uncertain,Do not know any,,,,Male,Yes,,5,,1 2,,1,2,,,,,,,,3,,,Less than a month,Increased,4,,1,,,,,,,,,,,,,
12237,DIC,Services,DESK TOP PUBLISHING,Software Services,8,Nagercoil,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,40000,Do Not Know,Do Not Know,No,No,,,Yes,Fully confident,0,,0-3 months,Do not know any,,,,Male,Yes,,5,,2 -888,,,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12238,DIC,Services,Repair and maintenance of other special purpose machinery,Machinery Work,7,Chennai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,No,,Yes,,No,No,No,No,,,Yes,Fully confident,0,,0-3 months,Do not know any,,,,Male,Yes,,4,,1,,1,,,,,,,,,2 3,,,> 3 years,,1 2 3 4,,1,,,,,,,,,,,,,
12240,DIC,Manufacturing,Computer sales services,Electricals and Electronics,10,Erode,Tamil Nadu,South India,Yes,Male,Home based business,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Same as expected,,,,Enough to survive 1 month,,No,,,Yes,200000,Do Not Know,Do Not Know,No,No,,,No Loan,Somewhat confident,0,,> 6 months,Do not know any,,,,Male,Yes,,5,,2,,,1,,,,,,,,1 2 3,,,> 3 years,,3 4,,5,,,,,,,,,,,,,
12243,DIC,Services,INTERNET BROWSING / SETTING OF CYBER CAFES,Software Services,15,Tiruppur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,7000,Do Not Know,Do Not Know,Yes,No,,,No,Fully confident,1,,0-3 months,Do not know any,,,,Male,Yes,,5,,3,,,,1,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12245,DIC,Manufacturing,DATA PROCESSING,Software Services,55,Tuticorin,Tamil Nadu,South India,Yes,Male,Home based business,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,No,,Do Not Know,Do Not Know,No,No,,,No Loan,Not confident,0,,Uncertain,Do not know any,,,,Male,Yes,,5,,2,,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12246,DIC,Services,Computer sales services,Electricals and Electronics,12,Madurai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,No,,Yes,,No,No,No,No,,,No,Not confident,1,,Uncertain,Do not know any,,,,Male,Yes,,4,,2,,,1,,,,,,,,3,,,> 3 years,,5,,1,,,,,,,,,,,,,
12251,DIC,Trading,Retail trade 2s- others,General/Kirana Store,15,Chennai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Essential,Yes,Fully Shut,,,8,7,15,,,,,Y,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,100000,No,No,No,No,,,Yes,Fully confident,4  3,,> 6 months,Do not know any,,,,,Yes,,4,,2 -888,Friends,,1,,,,,,,2,1 2 3 4,,,> 3 years,,3,,1 4,,,,,,,,,,,,,
12255,DIC,Services,Technical training 3s,Education / Training,20,Tiruppur,Tamil Nadu,South India,Yes,Male,Online Business,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,No,,,Yes,30000,Do Not Know,Do Not Know,No,No,,,No Loan,Fully confident,5,,> 6 months,Do not know any,,,,Male,Yes,,5,,2 3,,,2,1,,,,,,,3,,,> 3 years,,3 4,,1 2,,,,,,,,,,,,,
12256,DIC,Manufacturing,Wholesale  trade 2s,General/Kirana Store,20,Tiruchirappalli,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Essential,Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,,No,No,No,No,,,No Loan,Fully confident,0,,0-3 months,Do not know any,,,,,Yes,,2,,2,,,1,,,,,,,,3,,,1 to 3 months,Remained the same,,,,,,,,,,,,,,,,
12259,DIC,Manufacturing,INDUSTRIAL HEATING,Machinery Work,22,Thiruvallur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,30000,Do Not Know,Do Not Know,No,No,,,No Loan,Fully confident,1 5,,Uncertain,Do not know any,,,,Male,Yes,,5,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12260,DIC,Manufacturing,TRANSPORT HIRING SERVICES,Transport Service,15,Chennai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Enough to survive 3 months or more,,Yes,Yes,2,Yes,15000,Do Not Know,Do Not Know,Yes,No,,,No Loan,Somewhat confident,0,,> 6 months,Do not know any,,,,Male,Yes,,5,,6,,,,,,,1,,,,2 3 4,,,> 3 years,Do Not Know,4,,5,,,,,,,,,,,,,
12262,DIC,Services,Steering gear control system,Auto Parts and Metal Works,30,Tiruchirappalli,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,2,4,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,14000,No,No,No,No,,,Yes,Fully confident,1,,4-6 months,Do not know any,,,,Male,Yes,,5,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12265,DIC,Manufacturing,GRILL GATE,Auto Parts and Metal Works,12,Pudukkottai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,8,0,8,,,Y,,,,,Same as expected,,,,Enough to survive 1 month,,No,,,Yes,50000,Do Not Know,Do Not Know,Only partially,No,,,No,Somewhat confident,0,,0-3 months,Do not know any,,,,Male,Yes,,5,,2,,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12267,DIC,Services,"REPAIR AND MAINTENANCE OF PUMPS, COMPRESSORS, TAPS AND VALVES",Machinery Work,18,Virudhunagar,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,4,Yes,50000,No,Partial payment,No,Yes,1,0,Yes,Somewhat confident,0,,> 6 months,Do not know any,,,,Male,Yes,,1 2 3 4,,2,,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
